OUTCOME_CONCEPT_ID,REACTION_NAME
37219909,PRODUCTIVE COUGH
36718197,BRADYKINESIA
35909594,HEPATOMEGALY
36211451,SUNBURN
35205184,CHEST DISCOMFORT
35607320,PHOTOPHOBIA
36516728,BONE DISORDER
37019263,CYSTITIS NONINFECTIVE
37320109,DRY SKIN
36009736,DERMATITIS EXFOLIATIVE
35205023,CYANOSIS
35607470,DIPLOPIA
35306232,LARYNGOMALACIA
35809133,HOT FLUSH
37219941,FOREIGN BODY ASPIRATION
36919197,LOSS OF LIBIDO
35607367,RETINAL DEGENERATION
36718509,CONVULSION NEONATAL
36110084,PERTUSSIS
35808963,INJECTION SITE ATROPHY
36416641,DYSLIPIDAEMIA
36516738,EXOSTOSIS
35809406,ULCER
35205168,CORONARY ARTERY OCCLUSION
36110583,BRONCHIECTASIS
36617224,METASTASES TO LUNG
35607445,BLINDNESS TRANSIENT
35809199,MUCOSAL DRYNESS
37219924,RHONCHI
35707639,LOOSE TOOTH
36516988,GROIN PAIN
35607483,Vision blurred
35606961,Eye disorder
36313437,Neutrophil count increased
35708094,Diarrhoea haemorrhagic
36313968,Laboratory test abnormal
37420447,Breast feeding
36211103,Lower limb fracture
36315575,Blood creatinine increased
36718317,Loss of consciousness
35809120,Disease progression
36211263,Muscle strain
37019377,Urethral obstruction
35607013,Optic ischaemic neuropathy
36110356,Cryptococcosis
42889605,H1N1 influenza
36718016,ISCHAEMIC STROKE
36919232,SELF INJURIOUS BEHAVIOUR
36211675,PERITONEAL DIALYSIS COMPLICATION
36313477,White blood cell count increased
35708318,Oesophageal ulcer
35808816,Application site pain
36718371,Unresponsive to stimuli
35708606,Odynophagia
35607109,Eye discharge
35506610,Diabetes mellitus inadequate control
37622497,Vein disorder
35104299,Microangiopathic haemolytic anaemia
35708103,Gastric dilatation
36918908,Panic reaction
35205039,Dyspnoea at rest
35708248,Subileus
35607126,Herpes ophthalmic
36416567,HYPERMAGNESAEMIA
35306079,CEREBRAL PALSY
36516932,SPINAL DEFORMITY
35104123,INCREASED TENDENCY TO BRUISE
37019456,NEPHROLITHIASIS
35205160,ARTERIOSCLEROSIS CORONARY ARTERY
37219902,BRAIN HYPOXIA
37219801,BRONCHITIS CHRONIC
36110319,ASPERGILLOSIS
36516930,SCOLIOSIS
36718267,AREFLEXIA
35909469,CHOLESTASIS
35104868,Leukopenia
35809225,Oedema
36315380,Weight decreased
35606827,Cataract subcapsular
37622451,Orthostatic hypotension
37622439,Blood pressure inadequately controlled
36313718,Carcinoembryonic antigen increased
35809125,Energy increased
36211269,Tendonitis
36718045,Cerebrovascular disorder
42889505,Immune reconstitution inflammatory syndrome
36718285,Coordination abnormal
36516961,Back disorder
36516757,Spinal disorder
37420551,Wheelchair user
35205040,DYSPNOEA EXERTIONAL
35707593,COLON ADENOMA
35707632,TOOTH INFECTION
35708444,SMALL INTESTINE CARCINOMA
42889655,POST-TRAUMATIC NECK SYNDROME
36211492,Intentional overdose
35708073,Inflammatory bowel disease
37521157,Bone marrow transplant
36918947,Anhedonia
36818840,Pregnancy with contraceptive device
36516905,Intervertebral disc disorder
42889463,Product physical issue
37320141,Dermatitis
36315471,Blood albumin decreased
35204976,Sudden death
36110874,Cytomegalovirus infection
35809381,Impaired healing
43562827,Pneumocystis jirovecii pneumonia
43562831,Product physical consistency issue
36718169,Autism
37019322,Azotaemia
36919210,Sleep disorder due to a general medical condition
37420549,Walking aid user
35809146,Mobility decreased
37521713,Bladder operation
35809283,Product colour issue
35809124,Effusion
36919082,Violence-related symptom
35909542,Liver abscess
35708110,Intestinal dilatation
36110256,Pneumococcal sepsis
36146460,Bacterial vaginosis
36718610,Cerebral calcification
42889323,Tongue pruritus
37019392,Bladder irritation
37019355,Renal infarct
35707749,Abdominal compartment syndrome
35305971,Caudal regression syndrome
36718502,Peripheral sensorimotor neuropathy
36110013,Arthritis bacterial
36718474,Mononeuropathy multiplex
35708321,Oesophagitis ulcerative
36919085,Self esteem decreased
37522138,Cyst removal
36516923,Cervical spine flattening
42890353,Band sensation
35104075,Anaemia macrocytic
35104794,Splenic granuloma
35607122,EYE IRRITATION
36516810,Temporomandibular joint syndrome
35708166,Acute abdomen
37521547,Vertebroplasty
35506681,Pituitary tumour
35708678,Peritoneal adhesions
36110024,Bronchitis bacterial
36919144,"Delusional disorder, unspecified type"
36313096,Prothrombin time shortened
36718319,Postictal state
35606836,Conjunctival disorder
35305408,Congenital aortic anomaly
36211457,Burns second degree
36516897,Knee deformity
35808966,Injection site coldness
36314159,BLOOD GLUCOSE FLUCTUATION
35708248,SUBILEUS
36312234,HORMONE LEVEL ABNORMAL
35708539,PANCREATIC CARCINOMA METASTATIC
35808831,APPLICATION SITE VESICLES
37420551,WHEELCHAIR USER
36313089,PROTHROMBIN TIME ABNORMAL
37520737,CARDIOVERSION
35607323,CHORIORETINOPATHY
35306250,PULMONARY MALFORMATION
42889466,PRODUCT ADHESION ISSUE
