reaction_id,cluster_id,cluster_size
36110933,1,1
36718171,2,1
36516848,3,1
36312077,4,1
36314160,5,1
36111047,6,1
37219953,7,1
37219909,8,1
36516951,9,1
36918860,10,1
37219964,11,1
36718211,12,1
36416514,13,1
36313957,14,1
36718468,15,1
36718414,16,1
36516728,17,1
36516779,18,1
37219907,19,1
36918869,20,1
37219959,21,1
36718132,22,1
37420510,23,1
36314556,24,1
37320136,25,1
36718175,26,1
36718265,27,1
36315380,28,1
36516837,29,1
37220014,30,1
36315381,31,1
36211071,32,1
36211325,33,1
37019456,34,1
36617553,35,1
36313985,36,1
36516781,37,1
36918861,38,1
36718287,39,1
37219946,40,1
37622460,41,1
37219942,42,1
36416551,43,1
37219944,44,1
36211102,45,1
36516761,46,1
37622529,47,1
36211305,48,1
36718422,49,1
37320079,50,1
36211462,51,1
36416606,52,1
36516757,53,1
36516954,54,1
36919209,55,1
35809005,56,1
37320120,57,1
36918858,58,1
35809084,59,1
35809138,60,1
36918862,61,1
36516970,62,1
36211475,63,1
35809016,64,1
36314365,65,1
35809013,66,1
36516858,67,1
35809142,68,1
36516851,69,1
37320096,70,1
36919050,71,1
35809083,72,1
36211385,73,1
36211473,74,1
36918949,75,1
36718372,76,1
36718556,77,1
36516959,78,1
43053808,79,1
36313221,80,1
36718555,81,1
36211272,82,1
35809054,83,1
35809243,84,1
35809017,85,1
35809174,86,1
36314347,87,1
37622545,88,1
37019238,89,1
36211469,90,1
35809022,91,1
36718207,92,1
36718199,93,1
36516957,94,1
36211548,95,1
36919045,96,1
36416539,97,1
36110555,98,1
35809021,99,1
35809024,100,1
37320158,101,1
36718376,102,1
36211460,103,1
36718401,104,1
37019416,105,1
36211211,106,1
36718395,107,1
36718141,108,1
36211273,109,1
36516876,110,1
36516738,111,1
37320114,112,1
36516824,113,1
36211285,114,1
36516840,115,1
35809025,116,1
43562825,117,1
37019273,118,1
36918942,119,1
36211459,120,1
36009833,121,1
36718338,122,1
35809382,123,1
35809011,124,1
37622518,125,1
35809014,126,1
36516972,127,1
35809082,128,1
35809019,129,1
36516812,130,1
